src,alt,Index
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/profile-52e0dc.svg,Login,11
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/header_cart-eed150.svg,Cart,12
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/Store-9eeae2.svg,Become a Seller,13
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/header_3verticalDots-ea7819.svg,Dropdown with more help links,14
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/notificationPreferences-cfffaf.svg,Notification Preferences,15
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/helpcenter-7d90c0.svg,24x7 Customer Care,16
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/advertise-298691.svg,Advertise,17
https://static-assets-web.flixcart.com/batman-returns/batman-returns/p/images/downloadApp-2ea657.svg,Download App,18
,Grocery,19
,Mobiles,20
,Fashion,21
,Electronics,22
,Home & Furniture,23
,Appliances,24
,Travel,25
,"Beauty, Toys & More",26
,Two Wheelers,27
,Image,28
https://rukminim2.flixcart.com/fk-p-flap/480/80/image/b2226f9efd5548d3.jpg?q=20,Image,29
,Image,30
https://rukminim2.flixcart.com/fk-p-flap/480/80/image/f9253953f43b10c3.jpeg?q=20,Image,31
,Image,32
https://rukminim2.flixcart.com/fk-p-flap/480/80/image/aa1b2bdcf519b468.jpg?q=20,Image,33
,Image,34
https://rukminim2.flixcart.com/fk-p-flap/480/80/image/352e6f0f8034fab5.jpg?q=20,Image,35
https://rukminim2.flixcart.com/image/110/110/xif0q/keyboard/gaming-keyboard/b/s/q/f2023-aula-original-imagnhc44uakb4zb.jpeg?q=90,Image,36
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,37
https://rukminim2.flixcart.com/image/110/110/xif0q/power-bank/d/a/f/-original-imagky3e8yp5ebvr.jpeg?q=90,Image,38
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,39
https://rukminim2.flixcart.com/image/110/110/jwzabgw0/trimmer/y/4/r/sensitive-touch-expert-veet-original-imafhjh5ah7vf9zc.jpeg?q=90,Image,40
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,41
https://rukminim2.flixcart.com/image/110/110/kvr01ow0/security-software/l/d/e/quick-heal-original-imag8kpmjygxhzgh.jpeg?q=90,Image,42
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,43
https://rukminim2.flixcart.com/image/110/110/xif0q/monitor/o/p/5/ls22a334nhwxxl-full-hd-22-2022-ls22a334nhwxxl-samsung-original-imagsqhebkuehwfw.jpeg?q=90,Image,44
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,45
https://rukminim2.flixcart.com/image/110/110/kxnl6kw0/monitor/w/2/0/vg279q1r-full-hd-27-90lm05s1-b01e10-asus-original-imaga25ucme7b3kr.jpeg?q=90,Image,46
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,47
https://rukminim2.flixcart.com/image/110/110/xif0q/monitor/s/g/u/-original-imagzrf84gyqeste.jpeg?q=90,Image,48
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,49
https://rukminim2.flixcart.com/image/110/110/xif0q/monitor/0/1/5/-original-imagwcddyrshqve9.jpeg?q=90,Image,50
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,51
https://rukminim2.flixcart.com/image/110/110/kzegk280/action-figure/9/v/t/3-30155-mcfarlane-2-5-original-imagbeyyzehpyk2m.jpeg?q=90,Image,52
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,53
https://rukminim2.flixcart.com/image/110/110/kx50gi80/pen/h/z/k/119766-flair-original-imag9nzubznagufg.jpeg?q=90,Image,54
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,55
https://rukminim2.flixcart.com/image/110/110/l111lzk0/cycle/m/r/e/xc-900-grey-lite-26-15-5-cradiac-21-gear-120-original-imagczuzpxeweczm.jpeg?q=90,Image,56
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,57
https://rukminim2.flixcart.com/image/110/110/jxz0brk0/stuffed-toy/n/t/s/4-feet-pink-very-beautiful-best-quality-for-special-gift-125-13-original-imafgv92puzkdytg.jpeg?q=90,Image,58
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,59
https://rukminim2.flixcart.com/image/110/110/kzzw5u80/coffee/s/b/x/-original-imagbwf3wvhzfh5z.jpeg?q=90,Image,60
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,61
https://rukminim2.flixcart.com/image/110/110/jlph9jk0/cycle/h/f/k/skyper-26t-sskp26bk0001-16-hero-original-imaf8ru5xysfgtmx.jpeg?q=90,Image,62
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,63
https://rukminim2.flixcart.com/image/110/110/kdj4xow0/treadmill/b/g/c/ft098-steel-motorized-ft98-steel-motorized-motorized-fitkit-original-imafuerskytashcz.jpeg?q=90,Image,64
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,65
https://rukminim2.flixcart.com/image/110/110/l51d30w0/shopsy-sport-mat/p/w/s/anadi-01-yoga-mat-4-30-anadi-enterprise-15-original-imagfsxudxcm7r48.jpeg?q=90,Image,66
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,67
https://rukminim2.flixcart.com/image/210/210/xif0q/headphone/o/d/r/-original-imagpgwsm6zgtsrj.jpeg?q=90,Image,68
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,69
https://rukminim2.flixcart.com/image/210/210/l4ei1e80/headphone/b/j/w/bullets-wireless-z2-oneplus-original-imagfaww7ga6nshz.jpeg?q=90,Image,70
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,71
https://rukminim2.flixcart.com/image/210/210/xif0q/flag/v/g/i/38-na-hanumanji-printed-flag-bajrangbali-flag-flag-for-hanuman-original-imagzyt95qsag3jr.jpeg?q=90,Image,72
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,73
https://rukminim2.flixcart.com/image/210/210/xif0q/bottle/8/7/h/500-vacuum-insulated-flask-set-3cup-set-for-hot-cold-drink-original-imagmb6ygnfv6cf8.jpeg?q=90,Image,74
https://static-assets-web.flixcart.com/www/linchpin/batman-returns/images/fk-default-image-75ff340b.png?q=90,Image,75
